Date,AAPL,MSFT,WMT,NKE,MCD,DIS
2018-09-27,220.3267,111.9522,91.7607,83.4065,161.609,113.7566
2018-09-28,221.1004,111.9131,91.5463,83.5841,162.3466,114.6389
2018-10-01,222.5892,113.1265,92.0239,83.3276,161.7449,113.9527
2018-10-02,224.5677,112.6763,92.7551,81.6602,160.2989,115.3447
2018-10-03,227.3003,112.6959,91.7022,81.3938,159.7943,114.6095
2018-10-04,223.3042,110.367,91.8387,79.1049,160.9006,113.8448
2018-10-05,219.6802,109.7212,90.9614,79.0458,161.6478,112.5214
2018-10-08,219.1709,108.4687,92.3066,79.1543,162.8124,113.737
2018-10-09,222.2072,109.8484,94.6365,79.3417,164.8115,114.5899
2018-10-10,211.9132,103.8795,93.3497,73.9352,163.3947,110.6392
2018-10-11,210.0425,103.6348,91.556,73.511,158.1542,108.9628
2018-10-12,217.545,107.2162,92.4236,74.8922,158.9791,110.3941
2018-10-15,212.8927,105.2885,91.4585,73.9845,158.8335,111.2078
2018-10-16,217.5842,108.6155,93.3984,76.4411,159.2217,113.9036
2018-10-17,216.644,108.3317,94.1296,75.4546,161.8419,114.8251
2018-10-18,211.5802,106.1692,93.7494,74.5863,161.8808,113.8938
2018-10-19,214.8026,106.3258,94.7047,73.215,162.5407,116.5603
2018-10-22,216.115,107.2749,94.695,73.8957,161.7061,115.9427
2018-10-23,218.1523,105.7778,95.3384,72.3665,171.9152,115.531
2018-10-24,210.6693,100.1219,95.1044,71.153,172.1093,109.4138
2018-10-25,215.2825,105.9735,96.6836,72.1199,170.1296,111.9136
2018-10-26,211.8545,104.6623,96.4497,71.1037,168.2178,110.9627
2018-10-29,207.8779,101.6191,97.288,71.2221,168.111,110.8156
2018-10-30,208.9161,101.5017,99.8421,73.511,173.2156,112.5018
2018-10-31,214.3618,104.5155,97.7559,74.0339,171.6726,112.5704
2018-11-01,217.6528,103.6446,98.0484,75.7604,169.7123,113.8154
2018-11-02,203.2157,103.8795,98.7893,75.5532,171.527,112.9135
2018-11-05,197.4468,105.2005,100.3197,76.4905,175.0595,113.1782
2018-11-06,199.582,105.4059,100.7292,75.5434,177.3109,114.4134
2018-11-07,205.6349,109.5549,101.6942,76.9246,178.8054,114.7467
2018-11-08,204.9175,109.3494,102.2402,76.7371,179.999,113.7174
2018-11-09,200.9663,107.2162,102.903,75.3362,180.4454,115.678
2018-11-12,190.8428,104.5742,101.2556,74.093,178.9219,114.4036
2018-11-13,188.9361,104.6427,100.349,74.1917,178.5725,114.5507
2018-11-14,183.5992,103.1588,98.9745,74.1917,178.4172,114.8153
2018-11-15,188.1301,105.4289,97.0346,73.3334,178.1358,114.8055
2018-11-16,190.2138,106.4215,95.2311,73.7379,182.0467,113.9036
2018-11-19,182.6752,102.8148,94.344,71.5476,181.2024,113.1488
2018-11-20,173.9474,99.955,91.79,70.1664,178.2814,109.6687
2018-11-21,173.7508,101.3308,91.7997,71.3997,177.3206,110.8058
2018-11-23,169.3378,101.2915,92.7063,70.5315,176.554,109.8745
2018-11-26,171.6278,104.6329,92.7551,71.7351,178.456,110.3353
2018-11-27,171.2544,105.2913,92.6478,71.1234,179.1742,111.6587
2018-11-28,177.8396,109.2026,95.0069,73.659,182.299,113.8154
2018-11-29,176.4734,108.2887,94.8412,73.3432,183.6673,114.3154
2018-11-30,175.52,108.9766,95.1921,74.3328,184.0677,113.2174
